Manager_Id|Manager_Name|Manager_Account
----------|------------|---------------
30000001|Milk Hung|zhang_zhiming_01
30000002|§õ¤pµØ|li_xiaohua_02
30000003|¤ý¬ü¬Â|wang_meiling_03
30000004|³¯¤j°¶|chen_dawei_04
30000005|ªL¶®´@|lin_yating_05
30000006|John Anderson|john_anderson_06
30000007|¼B«Ø°ê|liu_jianguo_07
30000008|Sarah Johnson|sarah_johnson_08
30000009|¶Àª÷Às|huang_jinlong_09
30000010|Michael Chen|michael_chen_10
30000011|»¯¤å¤ß|zhao_wenxin_11
30000012|David Wilson|david_wilson_12
30000013|§d¨Ø§g|wu_peijun_13
30000014|Jennifer Liu|jennifer_liu_14
30000015|³\§Ó°¶|xu_zhiwei_15
30000016|Robert Davis|robert_davis_16
30000017|½²²Qªâ|cai_shufen_17
30000018|Christopher Lee|chris_lee_18
30000019|¾G¶®µX|zheng_yaqi_19
30000020|Matthew Brown|matthew_brown_20
30000021|·¨´¼«i|yang_zhiyong_21
30000022|Amanda Taylor|amanda_taylor_22
30000023|°¨«ØµØ|ma_jianhua_23
30000024|Daniel Garcia|daniel_garcia_24
30000025|®]¬ü¬Ã|sun_meizhen_25
30000026|Emily Rodriguez|emily_rodriguez_26
30000027|©P¤å³Ç|zhou_wenjie_27
30000028|Anthony Martinez|anthony_martinez_28
30000029|§f¶®¼z|lv_yahui_29
30000030|Brian Thompson|brian_thompson_30
30000031|³¢§Ó±j|guo_zhiqiang_31
30000032|Jessica White|jessica_white_32
30000033|°ª¤åÙy|gao_wenbin_33
30000034|Kevin Anderson|kevin_anderson_34
30000035|¦ó¬ü§g|he_meijun_35
30000036|Rachel Green|rachel_green_36
30000037|¥Û§Ó©ú|shi_zhiming_37
30000038|Steven Clark|steven_clark_38
30000039|­S¶®¬Â|fan_yaling_39
30000040|Mark Johnson|mark_johnson_40
30000041|°K§ÓµØ|yuan_zhihua_41
30000042|Lisa Adams|lisa_adams_42
30000043|¿½¤åÀs|xiao_wenlong_43
30000044|Paul Wilson|paul_wilson_44
30000045|´¿¬üµØ|zeng_meihua_45
30000046|Karen Miller|karen_miller_46
30000047|¬x§Ó°¶|hong_zhiwei_47
30000048|Thomas Davis|thomas_davis_48
30000049|²ø¶®¤å|zhuang_yawen_49
30000050|Jason Lee|jason_lee_50
30000051|Áé¤å§g|zhong_wenjun_51
30000052|Michelle Wong|michelle_wong_52
30000053|¥Ð§ÓÀs|tian_zhilong_53
30000054|Andrew Smith|andrew_smith_54
30000055|¦¿¬üµY|jiang_meilin_55
30000056|Ryan Garcia|ryan_garcia_56
30000057|¼ï§Ó¦¨|pan_zhicheng_57
30000058|Nicole Brown|nicole_brown_58
30000059|§E¶®ªÚ|yu_yafang_59
30000060|Patrick O\Connor|patrick_oconnor_60
30000061|±ç¤å»¨|liang_wenhao_61
30000062|Stephanie Taylor|stephanie_taylor_62
30000063|Áú§Ó±j|han_zhiqiang_63
30000064|Jonathan Moore|jonathan_moore_64
30000065|­ð¬ü´f|tang_meihui_65
30000066|Elizabeth White|elizabeth_white_66
30000067|ÃC§Ó©ú|yan_zhiming_67
30000068|Alexander Kim|alexander_kim_68
30000069|Ä¬¶®µÓ|su_yaping_69
30000070|Benjamin Clark|benjamin_clark_70
30000071|¤è¤å³Ç|fang_wenjie_71
30000072|Victoria Scott|victoria_scott_72
30000073|ªô§ÓµØ|qiu_zhihua_73
30000074|Gregory Turner|gregory_turner_74
30000075|Ò\¬ü¬Â|tu_meiling_75
30000076|Catherine Hall|catherine_hall_76
30000077|¿c§Ó»¨|lu_zhihao_77
30000078|Douglas Young|douglas_young_78
30000079|Á§¶®µ^|xue_yaqin_79
30000080|Samuel Harris|samuel_harris_80
30000081|³Å¤åÀs|fu_wenlong_81
30000082|Natalie Lewis|natalie_lewis_82
30000083|ÁÂ§Ó°¶|xie_zhiwei_83
30000084|Philip Robinson|philip_robinson_84
30000085|ÃQ¬üªÚ|wei_meifang_85
30000086|Timothy Walker|timothy_walker_86
30000087|¸â§Ó»¨|zhan_zhihao_87
30000088|Melissa Adams|melissa_adams_88
30000089|Ã¹¶®¼z|luo_yahui_89
30000090|Charles Martinez|charles_martinez_90
30000091|Â²§Ó±j|jian_zhiqiang_91
30000092|Diana Thompson|diana_thompson_92
30000093|Á¡¤å»¨|bo_wenhao_93
30000094|Nathan Garcia|nathan_garcia_94
30000095|Ãö¬ü¬Ã|guan_meizhen_95
30000096|George Wilson|george_wilson_96
30000097|¬_§Ó©ú|ke_zhiming_97
30000098|Angela Davis|angela_davis_98
30000099|¦±¤å³Ç|qu_wenjie_99
30000100|Kenneth Brown|kenneth_brown_100
30000101|Test|101testt11r
30000102|Kulu|5;4cl41su2

(102 ­Ó¨ü¼vÅTªº¸ê®Æ¦C)
